Season,Team,conference,team_elos,game_scores,Rank,Total Home Attendance,Average Home Attendance,Home Percent Capacity,Average Road Attendance,Road Percent Capacity,Overall Average Attendance,Overall Percent Capacity,GP,W,L
1996,76ers,E,1282.5806402439025,94.46341463414635,28,"489,327","11,934",--,"17,661",--,"14,798",--,82,22,60
1996,Bucks,E,1378.2595597560971,95.57317073170732,22,"647,088","15,782",--,"16,577",--,"16,179",--,82,33,49
1996,Bulls,E,1744.261468,103.78,2,"969,149","23,637",--,"19,919",--,"21,778",--,82,69,13
1996,Cavaliers,E,1516.0722505882354,90.72941176470589,11,"730,095","17,807",--,"16,620",--,"17,213",--,82,42,40
1996,Celtics,E,1416.7910914634147,103.59756097560975,9,"732,841","17,874",--,"17,222",--,"17,548",--,82,15,67
1996,Clippers,W,1381.739795121951,99.42682926829268,29,"414,560","10,111",--,"16,492",--,"13,301",--,82,36,46
1996,Hawks,E,1527.9480739130433,97.67391304347827,14,"704,489","17,182",--,"16,278",--,"16,730",--,82,56,26
1996,Heat,E,1480.4957811764707,96.0,27,"496,669","12,113",--,"17,416",--,"14,765",--,82,14,68
1996,Hornets,W,1497.5891743902441,102.8170731707317,25,"606,091","14,782",--,"17,400",--,"16,091",--,82,56,26
1996,Jazz,W,1641.5933699999996,101.18,5,"813,073","19,831",--,"17,170",--,"18,500",--,82,61,21
1996,Kings,W,1454.617547674419,99.0,12,"709,997","17,317",--,"16,123",--,"16,720",--,82,54,28
1996,Lakers,W,1573.4666802325576,102.52325581395348,7,"810,283","19,763",--,"18,329",--,"19,046",--,82,64,18
1996,Magic,E,1620.1441234042554,103.72340425531915,21,"649,634","15,844",--,"18,339",--,"17,092",--,82,34,48
1996,Mavericks,W,1392.8275914634146,102.54878048780488,13,"707,168","17,248",--,"19,326",--,"18,287",--,82,57,25
1996,NY Knicks,E,1567.4813000000004,96.44444444444444,17,"684,138","16,686",--,"17,199",--,"16,942",--,82,45,37
1996,Nets,E,1395.8121317073176,93.70731707317073,23,"638,144","15,564",--,"16,554",--,"16,059",--,82,24,58
1996,Nuggets,W,1469.251375609756,97.71951219512195,18,"675,426","16,473",--,"16,524",--,"16,498",--,82,26,56
1996,Pacers,E,1590.3298080459767,98.60919540229885,19,"673,967","16,438",--,"17,435",--,"16,936",--,82,21,61
1996,Pistons,E,1475.858317647059,95.16470588235295,1,"985,722","24,042",--,"16,830",--,"20,436",--,82,39,43
1996,Raptors,E,1299.4182280487807,97.48780487804878,10,"730,573","17,818",--,"17,454",--,"17,636",--,82,54,28
1996,Rockets,W,1596.499256666666,102.06666666666666,3,"950,330","23,178",--,"16,508",--,"19,843",--,82,30,52
1996,Spurs,W,1642.494316304348,102.3804347826087,20,"667,685","16,285",--,"17,794",--,"17,039",--,82,57,25
1996,Suns,W,1531.4473627906975,104.03488372093024,6,"811,422","19,790",--,"17,065",--,"18,428",--,82,20,62
1996,Thunder,W,1674.2875990291263,102.41747572815534,8,"779,943","19,023",--,"18,160",--,"18,591",--,82,40,42
1996,Timberwolves,W,1352.322213414634,97.85365853658537,15,"697,301","17,007",--,"17,285",--,"17,146",--,82,57,25
1996,Trailblazers,W,1513.2677114942528,98.77011494252874,26,"585,669","14,284",--,"16,201",--,"15,243",--,82,40,42
1996,VAN,W,1234.1214195121952,89.78048780487805,4,"850,338","20,739",--,"16,460",--,"18,600",--,82,49,33
1996,Warriors,W,1435.0210073170736,101.63414634146342,24,"616,025","15,025",--,"16,761",--,"15,893",--,82,30,52
1996,Wizards,W,1453.5084304878044,102.53658536585365,16,"688,354","16,789",--,"17,262",--,"17,025",--,82,44,38
1997,76ers,E,1326.0569902439026,100.1829268292683,23,"626,478","15,279",--,"17,624",--,"16,452",--,82,31,51
1997,Bucks,E,1428.6864060975608,95.34146341463415,22,"636,083","15,514",--,"17,321",--,"16,417",--,82,36,46
1997,Bulls,E,1788.6395405940596,101.14851485148515,2,"978,455","23,864",--,"20,059",--,"21,962",--,82,62,20
